#starname       AV                   EBV                  RV
als2192         2.126 +/- 0.036      0.422 +/- 0.050      5.037 +/- 0.600     
als4503         3.417 +/- 0.035      0.679 +/- 0.025      5.033 +/- 0.190     
als8333         1.924 +/- 0.036      0.382 +/- 0.059      5.031 +/- 0.776     
als19-709       4.100 +/- 0.039      0.818 +/- 0.083      5.012 +/- 0.511     
als8228         3.259 +/- 0.036      0.519 +/- 0.063      6.285 +/- 0.765     
als8228         3.259 +/- 0.036      0.519 +/- 0.063      6.285 +/- 0.765     
als8228         3.259 +/- 0.036      0.519 +/- 0.063      6.285 +/- 0.765     
als8228         3.259 +/- 0.036      0.519 +/- 0.063      6.285 +/- 0.765     
als8228         3.310 +/- 0.036      0.532 +/- 0.063      6.227 +/- 0.739     
als8228         3.298 +/- 0.036      0.527 +/- 0.063      6.263 +/- 0.751     
als8228         3.313 +/- 0.036      0.530 +/- 0.063      6.248 +/- 0.744     
als8228         3.302 +/- 0.036      0.528 +/- 0.063      6.259 +/- 0.749     
als8228         3.277 +/- 0.036      0.522 +/- 0.063      6.284 +/- 0.760     
als8228         3.340 +/- 0.036      0.539 +/- 0.063      6.193 +/- 0.725     
als8228         3.277 +/- 0.036      0.522 +/- 0.063      6.284 +/- 0.760     
als17-390       2.248 +/- 0.036      0.374 +/- 0.036      6.011 +/- 0.579     
als14-652-ab    2.540 +/- 0.036      0.432 +/- 0.073      5.885 +/- 0.995     
als14-652-ab    2.230 +/- 0.036      0.352 +/- 0.073      6.342 +/- 1.316     
als14-652-ab    2.588 +/- 0.036      0.446 +/- 0.073      5.807 +/- 0.951     
als14-652-ab    2.605 +/- 0.036      0.450 +/- 0.073      5.788 +/- 0.939     
als14-652-ab    2.601 +/- 0.036      0.448 +/- 0.073      5.806 +/- 0.946     
als14-652-ab    2.623 +/- 0.036      0.454 +/- 0.073      5.777 +/- 0.929     
als14-652-ab    2.630 +/- 0.036      0.458 +/- 0.073      5.741 +/- 0.915     
als14-652-ab    2.523 +/- 0.036      0.428 +/- 0.073      5.899 +/- 1.007     
als14-652-ab    2.517 +/- 0.036      0.426 +/- 0.073      5.907 +/- 1.012     
als14-652-ab    2.461 +/- 0.036      0.411 +/- 0.073      5.982 +/- 1.061     
als14-652-ab    2.461 +/- 0.036      0.411 +/- 0.073      5.982 +/- 1.061     
als14-652-ab    2.461 +/- 0.036      0.411 +/- 0.073      5.982 +/- 1.061     
als14-652-ab    2.461 +/- 0.036      0.411 +/- 0.073      5.982 +/- 1.061     
als14-652-ab    2.461 +/- 0.036      0.411 +/- 0.073      5.982 +/- 1.061     
als14-652-ab    2.461 +/- 0.036      0.411 +/- 0.073      5.982 +/- 1.061     
als2322         2.095 +/- 0.037      0.398 +/- 0.066      5.259 +/- 0.871     
als2322         2.149 +/- 0.037      0.423 +/- 0.066      5.074 +/- 0.791     
als2322         2.139 +/- 0.037      0.419 +/- 0.066      5.103 +/- 0.804     
als612          3.984 +/- 0.036      0.775 +/- 0.030      5.143 +/- 0.204     
als612          3.939 +/- 0.036      0.760 +/- 0.030      5.185 +/- 0.209     
als612          4.068 +/- 0.036      0.793 +/- 0.030      5.127 +/- 0.198     
als3097         1.794 +/- 0.039      0.366 +/- 0.107      4.898 +/- 1.439     
als3097         1.706 +/- 0.039      0.342 +/- 0.107      4.992 +/- 1.572     
als3097         1.820 +/- 0.039      0.372 +/- 0.107      4.889 +/- 1.413     
als3097         1.706 +/- 0.039      0.342 +/- 0.107      4.992 +/- 1.572     
als6905         2.147 +/- 0.037      0.445 +/- 0.068      4.825 +/- 0.745     
als6905         1.997 +/- 0.037      0.402 +/- 0.068      4.966 +/- 0.848     
als6905         2.144 +/- 0.037      0.448 +/- 0.068      4.787 +/- 0.734     
als6905         2.147 +/- 0.037      0.445 +/- 0.068      4.825 +/- 0.745     
als2192         2.358 +/- 0.036      0.486 +/- 0.050      4.855 +/- 0.503     
als2192         2.009 +/- 0.036      0.388 +/- 0.050      5.176 +/- 0.670     
als2192         2.301 +/- 0.036      0.470 +/- 0.050      4.897 +/- 0.524     
als2192         2.358 +/- 0.036      0.486 +/- 0.050      4.855 +/- 0.503     
als2192         2.202 +/- 0.036      0.444 +/- 0.050      4.963 +/- 0.563     
als2192         2.317 +/- 0.036      0.476 +/- 0.050      4.865 +/- 0.514     
als19-709       4.102 +/- 0.039      0.817 +/- 0.083      5.023 +/- 0.513     
als11-061       1.924 +/- 0.038      0.374 +/- 0.103      5.152 +/- 1.428     
als11-061       1.886 +/- 0.038      0.362 +/- 0.103      5.208 +/- 1.489     
als11-061       1.925 +/- 0.038      0.374 +/- 0.103      5.154 +/- 1.429     
als11-061       1.925 +/- 0.038      0.374 +/- 0.103      5.154 +/- 1.429     
als952          2.949 +/- 0.036      0.611 +/- 0.040      4.830 +/- 0.321     
